,content,sentencelabel
0,Elégedett az eredménnyel?,0
1,"Maximálisan, a választókerületi és az országos eredménnyel egyaránt.",0
2," Sőt, mindkettő még jobb is lett, mint amit a legoptimistább pillanatomban vártam.",0
3,"Azt mondta, ahhoz, hogy a választókerületében tudjon győzni, nem fideszes szavazók is kellenek.",0
4," Az eredmény alapján sikerült őket is megnyerni, és ha igen, mivel?",0
5,"Ötvenegy százalék feletti eredménnyel végeztem, korábban senki nem kapott ekkora támogatást ebben a választókerületben.",0
6," Ez alapján sikerült megszólítani azokat is, akik nem számítanak a Fidesz törzsszavazóinak, illetve a nem fideszes szavazókat is.",0
7," Ez alapvetően két dolognak köszönhető: az egyik, hogy kizárólag a saját programomra koncentráltam, s nem mentem bele semmilyen személyeskedésbe, negatív kampányba – miközben a versenytársaim időnként övön aluli módszerekkel támadtak.",0
8," A másik tényező az lehetett, hogy nagyon gyakorlatias kampányt vittem, ügyekre koncentráltam, és nem ideológiai háborút vívtam.",0
9," Próbáltam azokkal a kérdésekkel foglalkozni, amelyek a térségben élők hétköznapi életét jobbá tehetik.",0
10," Révfülöpi mentőállomás létesítése, az ajkai kórház korszerűsítése, környezetvédelmi beruházások, útfelújítások – többek között ezek azok az ügyek, amikre a kampányban hangsúlyt fektettünk.",0
11, ,0
12, Összességében milyennek értékelte kampányt?,0
13, ,0
14,"Helyben bár nem mindig volt az ízlésemnek megfelelő a hangnem az ellenfeleim részéről, összességében mérsékelt kampány volt.",0
15," Leszámítva, hogy a finisben durva személyeskedésbe fordult; Sümegen egy engem lejárató, álfideszes szórólapot terjesztettek, aminek kapcsán a választási bizottság meg is állapította a jogszabálysértést.",0
16," Ellenfelem, Rig Lajos egyébként tegnap este felhívott, és korrekt módon gratulált nekem, és felajánlotta az együttműködését.",0
17, ,0
18,"ugyanakkor volt egy másik, nagyon fontos tényező: míg a 2006-os kampányban a baloldal árulta el a bázisát, addig 2022-ben a Jobbik tette ugyanezt.",0
19," A Jobbik összecsuklása, és a Mi Hazánk bekerülése a parlamentbe pontosan mutatja azt az identitásválságot, ami a radikális jobboldalon van – ezzel párhuzamosan pedig folytatódott a baloldal több mint tizenöt éve tartó identitásválsága is.",0
20, Szerintem mindez jelentősen gyengítette az ellenzék mozgósító erejét és politikája vonzerejét.,0
21, ,0
22,"Mit szól a kétharmadhoz, gondolta volna, hogy megint összejön?",0
23,"Megmondom őszintén, csapnivaló jós vagyok, eddig még egyszer sem számítottam kétharmadra – még 2010-ben sem.",0
24," Ám az, hogy ismét kétharmada lett a Fidesz-KDNP-nek, sőt még a 2018-asnál is erősebb eredmény született, szerintem mindenki számára vaskos meglepetés.",0
25,"Mit gondol, hogyan csapódik le ez a nemzetközi színtéren, ahol az utóbbi években sem lettek kevesebben az Orbán-kormány kritikusai?",0
26,"Nyilvánvaló, hogy pártpolitikai támadások most is lesznek a választások kapcsán.",0
27," Ugyanakkor – és ez kiderült számomra a nyugat-európai politikus ismerőseimtől kapott sms-ekből –  erre az eredményre már mindenki odafigyel, pozitív értelemben is.",0
28,"Elképzelhető, hogy Nyugat-Európában ezt azért nehéz megérteni, mert nem ismerik mélységeiben a magyar viszonyokat, hagyományokat, a történelmünket.",0
29," Szerintem ez az eredmény hozzájárul ahhoz, hogy felfigyeljenek arra: itt többről van szó, mint csupán – a gyakran használt jelzőikkel élve – nem demokratikus, totalitárius, tekintélyelvű rendszerről.",0
30, ,0
31,"Orbán Viktor nyerte a vasárnapi választást, a szavazatok 60 százalékos feldolgozottsága után már bejelentette győzelmét, így szerb kollégájához, Aleksandar Vucic-hoz hasonlóan továbbra is",0
32,– írta a The New York Times.,0
33,"A lap szerint a két politikus hatalmát a média fölötti túlnyomó kontroll és az olcsó orosz energia erősít meg, valamint, hogy kimaradnak Ukrajna háborújából.",0
34," Orbán 2010 óta Magyarország miniszterelnöke, Európa leghosszabb ideig hivatalban lévő vezetője, zsinórban negyedszer nyert mandátumot, annak ellenére, hogy az ellenzék azzal vádolta, hogy",0
35,– olvasható a cikkben.,0
36,"„Olyan nagy győzelmet arattunk, hogy talán a Holdról is lehet látni, és minden bizonnyal Brüsszelből is” – mondta Orbán beszédében.",0
37,"A The New York Times szerint az eredmények egyúttal megdöntötték Orbán politikai ellenségeinek reményét, hogy egy egységes ellenzéki tábor megtörheti az egyre tekintélyelvűbb Fidesz szorítását.",0
38,"Mint arról korábban lapunk is beszámolt, a 2022-es országgyűlési választást követően Márki-Zay Péter beszédénél sehol sem voltak „szövetségesei”, noha korábban a baloldali összefogás számos vezető politikusa (és természetesen maga Márki-Zay Péter is) úgy vélte, a hódmezővásárhelyi politikus, valamint az összefogás lehet a baloldal győzelmének kulcsa.",0
39,"Választást követő beszédében a politikus arról beszélt, szerinte nincs Magyarországon demokrácia, gratulál a Fidesznek, Hitler is kétharmaddal nyert volna 1945 áprilisában.",0
40, Erről bővebben ide kattintva olvashat.,0
41,"Korábban, az ATV műsorában Márki-Zay még úgy fogalmazott, „hatalmas esélyünk van megverni Orbán Viktort.",0
42, ,0
43,"A politkus várakozásaival szemben nemcsak kétharmados többséget (135 mandátumot) szerzett a Fidesz-KDNP, de Márki-Zay egyéniben is megbukott, Lázár János behúzta körzetét.",0
44,"Lapunk korábban arról is beszámolt, hogy Karácsony Gergely, Budapest főpolgármestere szoros küzdelemre és baloldali parlamenti többségre számított.",0
45," A főpolgármester az ATV Híradójának kérdésére azt mondta: szerinte a választáson szoros küzdelem lesz, de biztos benne, hogy az ellenzék megszerzi a parlamenti többséget.",0
46, Erről ide kattintva olvashat bővebben.,0
47,– hangsúlyozta Karácsony Gergely.,0
48, De nem állt Márki-Zay Péter beszéde alatt a politikus mögött.,0
49,"A Jobbik elnöke szombati, közösségi oldalán megosztott videójából kiderült, a politikus a baloldali összefogástól külön tartotta kampányzáróját.",0
50," Az eseményen a többek között arról beszélt, hogy Márki-Zay Péternek nem lesz könnyű legyőznie Orbán Viktort, ugyanakkor leszögezte, be kell állniuk Márki-Zay Péter mögé.",0
51, Mint fogalmazott:,0
52,"Jakab Péter, a Jobbik elnöke ennek ellenére nem állt ott Márki-Zay Péter mögött, míg a politikus beszédet tartott.",0
53, Sőt!,0
54, Az eredmények ismeretében a Jobbik elnöke is értékelte a választás eredményét.,0
55," Mint fogalmazott, Márki-Zay Péter „hat ellenzéki párt hadseregét” kapta meg az előválasztás után, és „ebből az előnyből Fideszes kétharmadot csinált”.",0
56,"– fogalmazott, hozzátéve, hogy szerinte a „kevesebb, megfontoltabb beszéd most több szavazatot hozott volna”.",0
57, Erről bővebben ide kattintva olvashat.,0
58,"Olvasóink számára emlékezetes lehet az is, amikor közös összefogásra és Márky-Zay Péter melletti kiállásra szólította fel követőit Facebook-bejegyzésében Gyurcsány Ferenc.",0
59," A DK elnöke írásában (lenti kép) azt hangsúlyozta, lassan mindenkinek meg kell értenie, hogy „vagy a hat ellenzéki párt győz, vagy a Fidesz.",0
60," Vagy Márki-Zay Péterrel győzünk, vagy senkivel.",0
61,”,0
62,"Ezzel szemben a választáson legnagyobb ellenzéki frakciót szerző Gyurcsány Ferenc sem állt ott Márki-Zay Péter mögött, a hódmezővásárhelyi polgármester beszéde alatt.",0
63, Sőt!,0
64, A DK-vezér is külön értékelte a választás eredményét.,0
65, Mint kiderült: nem volt elégedett a kapitányával.,0
66,– fogalmazott Gyurcsány Márki-Zayról.,0
67," A baloldal vezére szerint „aki a hajót viharba vezeti, aki nem éri el a kikötőt [.",0
68,.,0
69,.,0
70,] az nem a legjobb kapitány”.,0
71, Erről ide kattintva olvashat bővebben.,0
72,"Érdekesség Gyurcsány Ferenc, Karácsony Gergely, Jakab Péter, valamint a többi baloldali pártvezető távolmaradása kapcsán, hogy nemcsak lapunk, de még Baranyi Krisztina, Budapest IX.",0
73, kerületének ellenzéki polgármestere is felhívta erre a közvélemény figyelmét.,0
