,title,site,date,content,comments,label,sentencelabel
0,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20,Elégedett az eredménnyel?,,0,0
1,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20,"Maximálisan, a választókerületi és az országos eredménnyel egyaránt.",,0,0
2,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Sőt, mindkettő még jobb is lett, mint amit a legoptimistább pillanatomban vártam.",,0,0
3,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20,"Azt mondta, ahhoz, hogy a választókerületében tudjon győzni, nem fideszes szavazók is kellenek.",,0,0
4,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Az eredmény alapján sikerült őket is megnyerni, és ha igen, mivel?",,0,0
5,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20,"Ötvenegy százalék feletti eredménnyel végeztem, korábban senki nem kapott ekkora támogatást ebben a választókerületben.",,0,0
6,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Ez alapján sikerült megszólítani azokat is, akik nem számítanak a Fidesz törzsszavazóinak, illetve a nem fideszes szavazókat is.",,0,0
7,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Ez alapvetően két dolognak köszönhető: az egyik, hogy kizárólag a saját programomra koncentráltam, s nem mentem bele semmilyen személyeskedésbe, negatív kampányba – miközben a versenytársaim időnként övön aluli módszerekkel támadtak.",,0,0
8,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," A másik tényező az lehetett, hogy nagyon gyakorlatias kampányt vittem, ügyekre koncentráltam, és nem ideológiai háborút vívtam.",,0,0
9,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Próbáltam azokkal a kérdésekkel foglalkozni, amelyek a térségben élők hétköznapi életét jobbá tehetik.",,0,0
10,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Révfülöpi mentőállomás létesítése, az ajkai kórház korszerűsítése, környezetvédelmi beruházások, útfelújítások – többek között ezek azok az ügyek, amikre a kampányban hangsúlyt fektettünk.",,0,0
11,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20, ,,0,0
12,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20, Összességében milyennek értékelte kampányt?,,0,0
13,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20, ,,0,0
14,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20,"Helyben bár nem mindig volt az ízlésemnek megfelelő a hangnem az ellenfeleim részéről, összességében mérsékelt kampány volt.",,0,0
15,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Leszámítva, hogy a finisben durva személyeskedésbe fordult; Sümegen egy engem lejárató, álfideszes szórólapot terjesztettek, aminek kapcsán a választási bizottság meg is állapította a jogszabálysértést.",,0,0
16,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20," Ellenfelem, Rig Lajos egyébként tegnap este felhívott, és korrekt módon gratulált nekem, és felajánlotta az együttműködését.",,0,0
17,Maximálisan elégedett vagyok – Navracsics Tibor a Mandinernek, Mandiner,2022. április 4. 12:20, ,,0,0
