title,site,date,writer,content,comments,label,sentencelabel
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,Mi történt a választáson?,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, A Mandiner a magyar nyilvánosság neves szereplőit kérdezi meg új sorozatában a választás tanulságairól.,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Újabb interjúalanyunk: Dörner György színművésu, az Új Színház igazgatója.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,***,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,"Milyen érzelmet váltott ki önből, hogy ekkora győzelmet aratott a Fidesz-KDNP?",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,"Nagy öröm volt számomra az eredmény, amit, ha lehet, a meglepődésem még fokozott is.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, Erre azért nem számítottam.,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Korábban úgy éreztem, nagyon is benne van a levegőben, hogy szoros eredmény születik, beleértve azt az eshetőséget is, hogy akár az ellenzék győz minimális különbséggel.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Ahogy előrehaladt a kampány, egyre kézzel foghatóbbá vált, hogy kormányzóképes erőnek egyedül a Fidesz-KDNP tűnik fel a társadalom szemében.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," De mivel „láttam én már karón varjút”, bizonyos aggodalommal vártam április 3-át.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István, Mentségemre szolgáljon: a közvélemény-kutatások sem vetítettek előre ekkora jobboldali győzelmet.,,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Végül mégis ez az igen szép eredmény sikeredett, úgy vélem, az egész ország javára… ",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István,"A baloldal a választás után azonnal hibáztatni kezdte az addigi miniszterelnök-jelöltjét, egymásra mutogatás folyik, ki nem hozta a kellő szavazatszámot.",,0,0.0
"Az ellenzéki szavazóknak is jobb, hogy így alakult – Dörner György a Mandinernek", Mandiner,2022. április 18. 13:00,Joó István," Ön, aki nem politikus, sem elemző, „csak” egy közismerten konzervatív színházigazgató, népszerű színművész, milyennek látja ezt az ellenzéket?",,0,0.0
